ride_id;travel_date;travel_time;travel_from;travel_to;car_type;max_capacity
1442;17/10/2017;07:15;Migori;Nairobi;Bus;49
14304;14/11/2017;05:10;Kisii;Nairobi;Bus;49
5437;19/11/2017;07:12;Migori;Nairobi;Bus;49
5710;26/11/2017;07:05;Keroka;Nairobi;Bus;49
5777;27/11/2017;07:10;Homa Bay;Nairobi;Bus;49
5777;27/11/2017;07:10;Homa Bay;Nairobi;Bus;49
5777;27/11/2017;07:10;Homa Bay;Nairobi;Bus;49
5777;27/11/2017;07:10;Homa Bay;Nairobi;Bus;49
5777;27/11/2017;07:10;Homa Bay;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5778;27/11/2017;07:12;Migori;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5781;27/11/2017;07:09;Homa Bay;Nairobi;Bus;49
5797;27/11/2017;07:06;Keroka;Nairobi;Bus;49
5797;27/11/2017;07:06;Keroka;Nairobi;Bus;49
5797;27/11/2017;07:06;Keroka;Nairobi;Bus;49
5802;27/11/2017;10:52;Keroka;Nairobi;shuttle;11
5802;27/11/2017;10:52;Keroka;Nairobi;shuttle;11
5802;27/11/2017;10:52;Keroka;Nairobi;shuttle;11
5804;27/11/2017;10:50;Keroka;Nairobi;shuttle;11
5875;27/11/2017;07:08;Migori;Nairobi;Bus;49
5875;27/11/2017;07:08;Migori;Nairobi;Bus;49
5875;27/11/2017;07:08;Migori;Nairobi;Bus;49
5898;27/11/2017;06:30;Keroka;Nairobi;shuttle;11
5899;27/11/2017;06:30;Keumbu;Nairobi;shuttle;11
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5901;27/11/2017;07:15;Migori;Nairobi;Bus;49
5902;27/11/2017;07:04;Homa Bay;Nairobi;Bus;49
5902;27/11/2017;07:04;Homa Bay;Nairobi;Bus;49
5902;27/11/2017;07:04;Homa Bay;Nairobi;Bus;49
5902;27/11/2017;07:04;Homa Bay;Nairobi;Bus;49
5902;27/11/2017;07:04;Homa Bay;Nairobi;Bus;49
13347;27/11/2017;07:10;Kisii;Nairobi;Bus;49
13354;27/11/2017;07:06;Kisii;Nairobi;Bus;49
13354;27/11/2017;07:06;Kisii;Nairobi;Bus;49
13354;27/11/2017;07:06;Kisii;Nairobi;Bus;49
13354;27/11/2017;07:06;Kisii;Nairobi;Bus;49
13354;27/11/2017;07:06;Kisii;Nairobi;Bus;49
13360;27/11/2017;10:52;Kisii;Nairobi;shuttle;11
13360;27/11/2017;10:52;Kisii;Nairobi;shuttle;11
13360;27/11/2017;10:52;Kisii;Nairobi;shuttle;11
13360;27/11/2017;10:52;Kisii;Nairobi;shuttle;11
13360;27/11/2017;10:52;Kisii;Nairobi;shuttle;11
13360;27/11/2017;10:52;Kisii;Nairobi;shuttle;11
13360;27/11/2017;10:52;Kisii;Nairobi;shuttle;11
13360;27/11/2017;10:52;Kisii;Nairobi;shuttle;11
13364;27/11/2017;07:05;Kisii;Nairobi;Bus;49
13365;27/11/2017;07:04;Kisii;Nairobi;Bus;49
13366;27/11/2017;10:51;Kisii;Nairobi;shuttle;11
13366;27/11/2017;10:51;Kisii;Nairobi;shuttle;11
13366;27/11/2017;10:51;Kisii;Nairobi;shuttle;11
13366;27/11/2017;10:51;Kisii;Nairobi;shuttle;11
13366;27/11/2017;10:51;Kisii;Nairobi;shuttle;11
13368;27/11/2017;10:50;Kisii;Nairobi;shuttle;11
13368;27/11/2017;10:50;Kisii;Nairobi;shuttle;11
13368;27/11/2017;10:50;Kisii;Nairobi;shuttle;11
13368;27/11/2017;10:50;Kisii;Nairobi;shuttle;11
13368;27/11/2017;10:50;Kisii;Nairobi;shuttle;11
13368;27/11/2017;10:50;Kisii;Nairobi;shuttle;11
13368;27/11/2017;10:50;Kisii;Nairobi;shuttle;11
13368;27/11/2017;10:50;Kisii;Nairobi;shuttle;11
13368;27/11/2017;10:50;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13369;27/11/2017;10:40;Kisii;Nairobi;shuttle;11
13423;27/11/2017;07:09;Kisii;Nairobi;Bus;49
13424;27/11/2017;10:30;Kisii;Nairobi;shuttle;11
