travel_date;5_to_7_am;7_to_8_am;8_to_11_am;7_to_11_pm;bus_origin;car_type;max_capacity;nb_passengers
17/10/2017;0;1;0;0;Migori;Bus;49;1
14/11/2017;1;0;0;0;Kisii;Bus;49;1
19/11/2017;0;1;0;0;Migori;Bus;49;1
26/11/2017;0;1;0;0;Keroka;Bus;49;1
27/11/2017;1;0;0;0;Kisii;shuttle;11;2
27/11/2017;1;0;0;0;Kisii;Bus;49;1
27/11/2017;1;0;0;0;Kisii;shuttle;11;1
27/11/2017;1;0;0;0;Kisii;shuttle;11;1
27/11/2017;1;0;0;0;Kisii;shuttle;11;1
27/11/2017;1;0;0;0;Keroka;shuttle;11;1
27/11/2017;1;0;0;0;Keumbu;shuttle;11;1
27/11/2017;1;0;0;0;Kisii;shuttle;11;1
27/11/2017;0;1;0;0;Kisii;shuttle;11;6
27/11/2017;0;1;0;0;Homa Bay;Bus;49;5
27/11/2017;0;1;0;0;Kisii;Bus;49;1
27/11/2017;0;1;0;0;Kisii;Bus;49;1
27/11/2017;0;1;0;0;Keroka;Bus;49;3
27/11/2017;0;1;0;0;Kisii;Bus;49;5
27/11/2017;0;1;0;0;Migori;Bus;49;3
27/11/2017;0;1;0;0;Homa Bay;Bus;49;26
27/11/2017;0;1;0;0;Kisii;Bus;49;1
27/11/2017;0;1;0;0;Homa Bay;Bus;49;5
27/11/2017;0;1;0;0;Kisii;Bus;49;1
27/11/2017;0;1;0;0;Kisii;shuttle;11;1
27/11/2017;0;1;0;0;Migori;Bus;49;31
27/11/2017;0;1;0;0;Kisii;Bus;49;4
27/11/2017;0;1;0;0;Migori;Bus;49;11
27/11/2017;0;1;0;0;Kisii;Bus;49;4
27/11/2017;0;1;0;0;Kisii;shuttle;11;2
27/11/2017;0;0;1;0;Kisii;shuttle;11;2
27/11/2017;0;0;1;0;Kisii;shuttle;11;11
27/11/2017;0;0;1;0;Kisii;shuttle;11;8
27/11/2017;0;0;1;0;Kisii;shuttle;11;6
27/11/2017;0;0;1;0;Kisii;shuttle;11;6
27/11/2017;0;0;1;0;Kisii;shuttle;11;11
27/11/2017;0;0;1;0;Kisii;shuttle;11;11
27/11/2017;0;0;1;0;Kisii;shuttle;11;10
